ID1,ID2,PI_HAT,Pop1,Pop2
CH038,CH104,0.1250,La_Jalca,Wayku
CH033,CH108,0.1250,La_Jalca,Wayku
EC023,LAL08,0.1250,Kichwa,Cao
CH010,LAM26,0.1250,Huancas,Eten
CH071,LAM27,0.1250,Luya,Eten
LAL05,LAM27,0.1250,Cao,Eten
CH071,PIU01,0.1250,Luya,Tallan
CH085,PIU12,0.1250,Luya,Tallan
CH010,MG029.CEL,0.1251,Huancas,Awajun
CH085,PIU04,0.1251,Luya,Tallan
PIU01,PIU45,0.1251,Tallan,Chulucanas
EC003,K38,0.1252,Kichwa,Cusco
CH086,MG007.CEL,0.1252,Huancas,Awajun
CH089,PIU27,0.1252,Huancas,Narihuala
CH036,PIU28,0.1252,La_Jalca,Narihuala
CH013,CH104,0.1253,La_Jalca,Wayku
CH062,CH109,0.1253,Luya,Wayku
CH089,EC015,0.1253,Huancas,Kichwa
CH020,LAM15,0.1253,La_Jalca,Chotuna
CH086,PIU11,0.1253,Huancas,Tallan
CH082,PIU24,0.1253,Luya,Narihuala
CH039,PIU28,0.1253,La_Jalca,Narihuala
CH067,SMAR-4,0.1253,Luya,Muniche
CH011,EC005,0.1254,Huancas,Kichwa
CH036,K3,0.1254,La_Jalca,Cusco
EC005,K38,0.1254,Kichwa,Cusco
CH111,K38,0.1254,Wayku,Cusco
CH105,LAL08,0.1254,Wayku,Cao
AMZ151,Lam07,0.1254,Cocama,Olmos
CH010,LAM32,0.1254,Huancas,Eten
CH044,LAM33,0.1254,La_Jalca,Eten
CH086,MG022.CEL,0.1254,Huancas,Awajun
CH010,PIU11,0.1254,Huancas,Tallan
CH086,PIU27,0.1254,Huancas,Narihuala
PIU08,PIU45,0.1254,Tallan,Chulucanas
CH011,SMAR-3,0.1254,Huancas,Muniche
AMZ142,LAL08,0.1255,Cocama,Cao
CH071,LAM21,0.1255,Luya,Chotuna
CH038,MG001.CEL,0.1255,La_Jalca,Awajun
CH011,MG007.CEL,0.1255,Huancas,Awajun
CH085,PIU21,0.1255,Luya,Sechura
CH062,PIU27,0.1255,Luya,Narihuala
CH085,PUT290,0.1255,Luya,Inga
CH033,CH044,0.1256,La_Jalca,La_Jalca
CH085,CH109,0.1256,Luya,Wayku
EC006,K38,0.1256,Kichwa,Cusco
CH082,LAM03,0.1256,Luya,Olmos
CH085,LAM21,0.1256,Luya,Chotuna
CH082,LAM32,0.1256,Luya,Eten
CH062,LAM35,0.1256,Luya,Eten
CH071,MG007.CEL,0.1256,Luya,Awajun
CH024,MG026.CEL,0.1256,Utcubamba,Awajun
CH062,PIU06,0.1256,Luya,Tallan
CH070,PIU11,0.1256,Luya,Tallan
CH013,CH039,0.1257,La_Jalca,La_Jalca
CH067,EC022,0.1257,Luya,Kichwa
CH104,LAL08,0.1257,Wayku,Cao
LAM20,LIM-1,0.1257,Chotuna,Paran
CH039,PUN49,0.1257,La_Jalca,Puno
CH013,CH112,0.1258,La_Jalca,Wayku
CH086,EC010,0.1258,Huancas,Kichwa
CH086,LAM15,0.1258,Huancas,Chotuna
CH070,MG027.CEL,0.1258,Luya,Awajun
K36,PIU01,0.1258,Cusco,Tallan
CH067,PIU25,0.1258,Luya,Narihuala
